"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GRF","Eagle Capital Growth Fund, Inc.","6.905","20542375","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GRF&selected=GRF",
"EML","Eastern Company (The)","18.95","116807800","n/a","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EML&selected=EML",
"ELC","Eastern Light Capital, Incorporated","4.2","1478400","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ELC&selected=ELC",
"EVM","Eaton Vance California Municipal Bond Fund","10.49","227423200","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVM&selected=EVM",
"EIA","Eaton Vance California Municipal Bond Fund II","10.55","40786300","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EIA&selected=EIA",
"CEV","Eaton Vance California Municipal Income Trust","11","79046000","1999","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CEV&selected=CEV",
"EVV","Eaton Vance Limited Duration Income Fund","15.96","1794909480","2003","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVV&selected=EVV",
"MAB","Eaton Vance Massachusetts Municipal Bond Fund","12.62","22185960","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MAB&selected=MAB",
"MMV","Eaton Vance Massachusetts Municipal Income Trust","12.7901","34776281.9","1999","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MMV&selected=MMV",
"MIW","Eaton Vance Michigan Municipal Bond Fund","14.02","21198240","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MIW&selected=MIW",
"EMI","Eaton Vance Michigan Municipal Income Trust","11.46","24249360","1999","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMI&selected=EMI",
"EIM","Eaton Vance Municipal Bond Fund","11.43","774622530","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EIM&selected=EIM",
"EIV","Eaton Vance Municipal Bond Fund II","12.53","124648440","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EIV&selected=EIV",
"EMJ","Eaton Vance New Jersey Municipal Bond Fund","13.2","33963600","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMJ&selected=EMJ",
"EVJ","Eaton Vance New Jersey Municipal Income Trust","12.12","56042880","1999","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVJ&selected=EVJ",
"ENX","Eaton Vance New York Municipal Bond Fund","11.8099","186277552.7","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ENX&selected=ENX",
"NYH","Eaton Vance New York Municipal Bond Fund II","12.2001","31207855.8","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=NYH&selected=NYH",
"EVY","Eaton Vance New York Municipal Income Trust","12.1","65206900","1999","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVY&selected=EVY",
"EIO","Eaton Vance Ohio Municipal Bond Fund","10.9301","27521991.8","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EIO&selected=EIO",
"EVO","Eaton Vance Ohio Municipal Income Trust","13.3","37625700","1999","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVO&selected=EVO",
"EIP","Eaton Vance Pennsylvania Municipal Bond Fund","12.52","36871400","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EIP&selected=EIP",
"EVP","Eaton Vance Pennsylvania Municipal Income Trust","12.28","33254240","1999","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVP&selected=EVP",
"ELLI","Ellie Mae, Inc.","6.77","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ELLI&selected=ELLI",
"ECF","Ellsworth Convertible Growth and Income Fund, Inc.","7.5601","100383007.8","1986","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ECF&selected=ECF",
"EMAN","eMagin Corporation","8.06","173620460","n/a","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EMAN&selected=EMAN",
"MSN","Emerson Radio Corporation","2.44","66197200","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MSN&selected=MSN",
"FEN","Energy Income and Growth Fund","29.543","192472645","2004","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FEN&selected=FEN",
"ESA","Energy Services Acquisition Corp","3.6","43531200","n/a","Public Utilities","Water Supply","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESA&selected=ESA",
"ESA/U","Energy Services Acquisition Corp","4.4899","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESA/U&selected=ESA/U",
"ESA/WS","Energy Services Acquisition Corp","0.37","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESA/WS&selected=ESA/WS",
"EGX","Engex, Inc.","3.5301","5175126.6","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EGX&selected=EGX",
"ENA","Enova Systems Inc.","1.04","32660160","n/a","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ENA&selected=ENA",
"EGT","Entertainment Gaming Asia Incorporated","0.29","33815740","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EGT&selected=EGT",
"EGI","Entree Gold Inc","2.8","320194000","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EGI&selected=EGI",
"EVI","EnviroStarm, Inc.","1.33","9355220","n/a","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVI&selected=EVI",
"ESP","Espey Mfg. & Electronics Corp.","24.6","57219600","n/a","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ESP&selected=ESP",
"EVBN","Evans Bancorp, Inc.","14.1","57612600","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVBN&selected=EVBN",
"EVK","Ever-Glory International Group, Inc.","1.7901","26412925.5","n/a","Consumer Non-Durables","Apparel","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EVK&selected=EVK",
"EPM","Evolution Petroleum Corporation, Inc.","7.92","217839600","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EPM&selected=EPM",
"XRA","Exeter Resource Corporation","5.38","464337040","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=XRA&selected=XRA",
"XPO","Express-1 Expedited Solutions, Inc.","2.16","71299440","n/a","Consumer Services","Transportation Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=XPO&selected=XPO",
"XG","Extorre Gold Mines Ltd.","7.29","0","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=XG&selected=XG",
"FPP","FieldPoint Petroleum Corporation","4.33","38580300","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FPP&selected=FPP",
"MXN","First American Minnesota Municipal Income Fund II, Inc.","14.2","20916600","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MXN&selected=MXN",
"FNV/U","First Class Navigation Corporation","n/a","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FNV/U&selected=FNV/U",
"FWV","First West Virginia Bancorp, Inc.","16.64","27505920","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FWV&selected=FWV",
